Driver,Team,LapTime,LapNumber,Compound,TyreLife,Stint,IsAccurate,Year,GP,LapTimeSeconds,NormalizedLapTime,CompoundEncoded
LEC,Ferrari,0 days 00:01:36.941000,32.0,HARD,21.0,2.0,True,2024,Bahrain,96.941,9.149313424009463,2.0
LEC,Ferrari,0 days 00:01:36.741000,33.0,HARD,22.0,2.0,True,2024,Bahrain,96.741,8.94931342400946,2.0
LEC,Ferrari,0 days 00:01:34.090000,36.0,HARD,2.0,3.0,True,2024,Bahrain,94.09,6.298313424009464,2.0
LEC,Ferrari,0 days 00:01:34.897000,37.0,HARD,3.0,3.0,True,2024,Bahrain,94.897,7.105313424009466,2.0
LEC,Ferrari,0 days 00:01:34.783000,38.0,HARD,4.0,3.0,True,2024,Bahrain,94.783,6.991313424009462,2.0
LEC,Ferrari,0 days 00:01:35.087000,39.0,HARD,5.0,3.0,True,2024,Bahrain,95.087,7.295313424009464,2.0
LEC,Ferrari,0 days 00:01:34.859000,40.0,HARD,6.0,3.0,True,2024,Bahrain,94.859,7.0673134240094555,2.0
LEC,Ferrari,0 days 00:01:35.028000,41.0,HARD,7.0,3.0,True,2024,Bahrain,95.028,7.236313424009467,2.0
LEC,Ferrari,0 days 00:01:34.982000,42.0,HARD,8.0,3.0,True,2024,Bahrain,94.982,7.19031342400946,2.0
LEC,Ferrari,0 days 00:01:35.192000,43.0,HARD,9.0,3.0,True,2024,Bahrain,95.192,7.400313424009454,2.0
LEC,Ferrari,0 days 00:01:35.051000,44.0,HARD,10.0,3.0,True,2024,Bahrain,95.051,7.259313424009463,2.0
LEC,Ferrari,0 days 00:01:35.220000,45.0,HARD,11.0,3.0,True,2024,Bahrain,95.22,7.42831342400946,2.0
LEC,Ferrari,0 days 00:01:35.058000,46.0,HARD,12.0,3.0,True,2024,Bahrain,95.058,7.266313424009468,2.0
LEC,Ferrari,0 days 00:01:35.057000,47.0,HARD,13.0,3.0,True,2024,Bahrain,95.057,7.265313424009463,2.0
LEC,Ferrari,0 days 00:01:35.308000,48.0,HARD,14.0,3.0,True,2024,Bahrain,95.308,7.516313424009468,2.0
LEC,Ferrari,0 days 00:01:35.302000,49.0,HARD,15.0,3.0,True,2024,Bahrain,95.302,7.5103134240094676,2.0
LEC,Ferrari,0 days 00:01:35.383000,50.0,HARD,16.0,3.0,True,2024,Bahrain,95.383,7.591313424009456,2.0
LEC,Ferrari,0 days 00:01:35.418000,51.0,HARD,17.0,3.0,True,2024,Bahrain,95.418,7.626313424009467,2.0
LEC,Ferrari,0 days 00:01:35.394000,52.0,HARD,18.0,3.0,True,2024,Bahrain,95.394,7.602313424009466,2.0
